"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-BC-A10U-11A",0.067100804284947,0,0.00718041212379549,0.0852547720306666,0,0.269999587150856,0,0.00380458661434063,0.000778434740574002,0,0.00562117357907569,0.0385357848565986,0.103580125072237,0.0392240969930405,0.0507812778988592,0.229929972649502,0,0,0,0.0784728125511282,0,0.0197361594543785,0.16,0.0786456386144865,1.05180963788062
"TCGA-CC-5262-01A",0.0454143554619587,0,0.00279897183954111,0.202800734908023,0,0.0388550630625406,0.00321482277115461,0.0108661900109326,0.0742119903591275,0,0,0.0603763016246497,0.0051679107619753,0.0752612456458894,0.0899634013267835,0.18420326747303,0.0178828575513104,0,0.105000204961721,0,0,0.0839826822413623,0.11,0.0940627958145079,1.0461938910009
"TCGA-DD-AAW1-01A",0.0337405890795635,0,0.0117522657844805,0.0367151036028759,0.0160316674969307,0.0271888794258662,0,0.00495423008601274,0.0150871514387171,0,0,0.130789232222366,0.0635866551067421,0.0063958130207327,0.141497480210581,0.287737459835183,0,0,0.212978100471384,0,0.00144390032216524,0.0101014718963997,0.51,0.00641232644440161,1.09471267431752
"TCGA-G3-A7M7-01A",0.0840507516221541,0,0.0120828314772011,0.0608156569636022,0,0.164788649261083,0,0.00391102211666321,0.125041522216921,0,0.0168877917651687,0.0562785954285473,0.00170694159107971,0.165488066860477,0.0477252751902315,0.163546774861393,0.0593829392960455,0,0.0382931813494317,0,0,0,0.63,-0.00248146746094261,1.08523649854443
"TCGA-DD-A4NP-01A",0.115924537479587,0,0.0114216315476039,0.0656153834830853,0,0.0849829774814355,0,0.0156455132582695,0.00730108727960515,0,0.0220104761907464,0.0623347736916705,0.0201826073666157,0,0.0221276611525594,0.251455007427652,0,0,0.3087754739877,0,0,0.0122228696534699,0.61,-0.00129083860862054,1.08684943235052
"TCGA-MI-A75E-01A",0.161560929810603,0,0.0173591970046197,0.118293739095787,0,0.220269442601639,0,0,0.0833609545306156,0,0,0.0799597384251656,0.022725851623191,0.0357753945383993,0.0681122063429222,0.0749960779651428,0.021905781763693,0,0.0853461682344488,0,0,0.0103345180637725,0.09,0.129424720791408,1.04055538088519
"TCGA-G3-A7M8-01A",0.0673671346681936,0,0.00738639428961227,0.0174337312415651,0,0,0,0.00330032064948795,0.00344790020077412,0,0,0.0504682232266444,0.0210455604249152,0.220294883714587,0.000395296219607677,0.521756880892085,0,0,0.0861645457517593,0,0,0.00093912872076867,0.25,0.0503442534363584,1.11155514046832
"TCGA-DD-AACL-01A",0.00210306849854257,0.00528777822152515,0.0332777764529753,0.123998436771267,0,0,0.0418509830311273,0.0677212520840927,0.0867858778907216,0,0.00430873348391396,0.0138796754221512,0.0244477020475575,0.229665620774793,0.0992178264023137,0.159966817414005,0.0538708379755198,0,0.0377488304993903,0,0,0.0158687830301028,0.18,0.0736689749424312,1.05828913261159
"TCGA-ZP-A9D0-01A",0.0626921620779611,0,0.0286470491796046,0.0329579226347159,0,0.209269399597939,0,0.00103636871038372,0.00575359761185628,0,0,0.0403066032663537,0.0698578586401493,0,0.11210360176341,0.248411460091392,0.0240064633213823,0,0.162258522025703,0,0.00269899107914864,0,0.73,-0.0121561591208859,1.07870307252853
"TCGA-K7-A5RF-01A",0.0598632081139088,0,0,0.128440072327706,0,0.172527889871934,0,0.0299100305961364,0.0574625825306109,0,0,0.0286788790892635,0.0497454030816734,0.0450607181866822,0.100072252646423,0.310070320411254,0,0,0.00889083113945587,0,0,0.00927781200495234,0.19,0.0675972416725359,1.0635727806152
"TCGA-BC-A10W-01A",0.0185317036898012,0,0,0.0503817737770836,0,0.0562959574984959,0,0.0337586702230179,0.0779423934371926,0.00766462672812414,0,0.0319567126590472,0.033543031151851,0.0940154119219963,0.128144897919826,0.250986329379468,0.172035382869427,0,0.0447431087446692,0,0,0,0.29,0.03756971105587,1.07380054548826
"TCGA-DD-A114-11A",0.112915699219222,0,0.00694519045155865,0.134028689490335,0,0.197923050309449,0.0151235986270122,0,0.0646699528735979,0.0341201067866734,0,0.0518595693009994,0.0147762330133391,0,0.205013519376502,0.110427295354515,0.0222822155454489,0,0.0138383809219234,0,0.00303572873418935,0.0130407699952342,0.07,0.149751557615405,1.05172637836978
"TCGA-DD-AAD6-01A",0.00345546213553989,0.00511874483673975,0,0.0301201605058006,0,0.292181462949315,0,0.00800755142819112,0.0962662173799201,0,0,0.106310976726844,0.0556131946019264,0.177387849270822,0.0314193631548863,0.154016324440816,0.00436561651409845,0,0.0308256808204166,0,0,0.00491139523468369,0.43,0.01704607115206,1.09260297853176
"TCGA-DD-AACD-01A",0.0256789272264957,0,0.000816044793002847,0.105480673834279,0,0.0997380689468288,0,0.0352203960831393,0.0640763758308071,7.70002570235267e-05,0.0107503606941593,0.0428880294026574,0.0142660783438574,0.0383887059615187,0.138383948625942,0.267234702205826,0.0250760614698148,0,0.1158687468839,0,0,0.0160558794407484,0.27,0.0396538468919473,1.07046207166441
"TCGA-DD-A4NH-01A",0,0.00577819769866601,0.00698824734914136,0.0304140985470631,0,0.120178189764938,0,0.00858277471569729,0.0679966786780391,0,0,0.012652657587889,0,0.23371447934126,0.0284744743362463,0.0100431071098176,0.183014074996596,0,0.0411439385449476,0,0,0.251019081329699,0.08,0.138149106170137,1.0547027344901
"TCGA-DD-AADS-01A",0.0749045236441955,0,0.0198777913170166,0.190826635347261,0,0.0846119171397417,0.0116279119482887,0.0252256912906549,0.167074706783341,0,0,0.0575544395223883,0.0313353406196718,0.0246833942987634,0.0915582272780435,0.175503949656082,0.00654357637632459,0,0.0386718947782266,0,0,0,0.09,0.120375990700992,1.04649620855412
