"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",-1.08887568753947,0.0579477829264751,-10.967173837262,7.23002778146316e-08,9.59519200020584e-07,8.55300676677865
"KEGG_FATTY_ACID_METABOLISM",-1.18638144297522,0.0183960279224582,-10.9032871008238,7.73805806468213e-08,9.59519200020584e-07,8.48351757918805
"KEGG_DNA_REPLICATION",0.929273838752141,-0.0816473259667423,10.6075156112161,1.0642385490478e-07,1.23717731326807e-06,8.15705424412391
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",-1.00303717863458,0.029977140466245,-10.0486721493931,1.98286830719736e-07,2.16949120669829e-06,7.51806347508161
"KEGG_HOMOLOGOUS_RECOMBINATION",0.872650200931723,-0.0871969708301079,9.7709229868767,2.72950021789018e-07,2.82029691302516e-06,7.18919666685795
"KEGG_PHENYLALANINE_METABOLISM",-0.866274420302654,0.0917311209948876,-9.72459040010942,2.88094845954183e-07,2.82029691302516e-06,7.13358148215573
"KEGG_BETA_ALANINE_METABOLISM",-1.08418387479212,0.0198308321469093,-9.56067460172306,3.49308862891244e-07,3.04503410162678e-06,6.93505757506532
"KEGG_STARCH_AND_SUCROSE_METABOLISM",-0.809050004650283,0.0283399333575818,-9.55567095532401,3.51383408728896e-07,3.04503410162678e-06,6.92895375499845
"KEGG_BUTANOATE_METABOLISM",-1.05728173655685,0.0520778778064494,-9.53483361321537,3.60165323848329e-07,3.04503410162678e-06,6.90350674061528
"KEGG_TYROSINE_METABOLISM",-0.873561170165372,0.0467047909172535,-9.17513634724055,5.55212370088223e-07,4.4899782972352e-06,6.456989594084
"KEGG_ARGININE_AND_PROLINE_METABOLISM",-0.850863594370416,0.0246578431871797,-9.12270734118374,5.91999629599296e-07,4.58799712939454e-06,6.39074208686216
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",-0.869415805156536,0.00950346073660117,-9.06482606966244,6.35655409304359e-07,4.72927624522443e-06,6.31725501704659
"KEGG_BASE_EXCISION_REPAIR",0.782412455426251,-0.0898930491196239,8.71036922683389,9.90223626403726e-07,7.08390748119588e-06,5.85906650249064
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",-0.690215794680447,0.0875558904015422,-8.59970941433529,1.1402938503547e-06,7.85535763577685e-06,5.71308898774181
"KEGG_ARACHIDONIC_ACID_METABOLISM",-0.689216430139385,0.0620411015623944,-8.52858314938816,1.24942571746257e-06,8.29975655171566e-06,5.61851050647791
"KEGG_RNA_POLYMERASE",0.773702070048463,-0.096872417385853,8.32908955160719,1.61931709069185e-06,1.03859647885753e-05,5.3500545977946
"KEGG_CELL_CYCLE",0.694080884988496,-0.0973990524756194,8.2784299018114,1.73076424476509e-06,1.07307383175435e-05,5.28112637207611
"KEGG_SULFUR_METABOLISM",-0.800798877908068,0.0158031241604893,-8.2079937988215,1.89949204008361e-06,1.13969522405017e-05,5.18477516375517
"KEGG_SPLICEOSOME",0.849372745871923,-0.0653577986363829,8.14474978860826,2.06595527038718e-06,1.18842253036974e-05,5.09774851316371
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",-0.767026202788134,-0.00618394252933605,-8.1294584362122,2.10849158613986e-06,1.18842253036974e-05,5.07663356581088
"KEGG_HISTIDINE_METABOLISM",-0.899748136475364,0.0118147544854927,-7.91638391133429,2.8088499968469e-06,1.53660617474566e-05,4.77940926193937
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",-0.722008922560518,0.0344291856483253,-7.88415155611773,2.93475371261457e-06,1.55961197298946e-05,4.73395521128468
"KEGG_NOTCH_SIGNALING_PATHWAY",0.613900102105698,-0.06396621860697,7.81015936206364,3.24705196313386e-06,1.67764351428583e-05,4.62911703730344
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.717814261120642,-0.0902662480527416,7.76364324608332,3.46133648678829e-06,1.74002320687195e-05,4.56285483750822
"KEGG_NITROGEN_METABOLISM",-0.78581838766524,0.0463766976172428,-7.71756662919769,3.68848000018906e-06,1.80541389482938e-05,4.49694754964778
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",-1.00254505773619,-0.00537646346070728,-7.61423579297254,4.25751919774704e-06,2.03050915584859e-05,4.3481574322648
"KEGG_CHRONIC_MYELOID_LEUKEMIA",0.650458944623678,-0.0652881694573186,7.4799559820194,5.14014865451417e-06,2.39016912434909e-05,4.15274450346168
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.696827820841644,-0.0838047674289116,7.42060493894599,5.59046511418344e-06,2.536162222532e-05,4.06562503020407
"KEGG_PROPANOATE_METABOLISM",-1.044172201228,-0.00210319650434003,-7.3144325247713,6.50384040863606e-06,2.8802721809674e-05,3.90862450500593
"KEGG_STEROID_BIOSYNTHESIS",-0.940453762840709,0.00570609776699969,-7.26120907561224,7.02017458193248e-06,3.03663365637079e-05,3.82936112891102
"KEGG_NON_HOMOLOGOUS_END_JOINING",0.77792262487307,-0.0971518264142386,7.21983790781317,7.45152888154486e-06,3.14996448174396e-05,3.76748905714622
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.711267480952546,-0.0779449700511489,7.16550177073063,8.0612553405661e-06,3.33198554076732e-05,3.68588087846096
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM",-0.683257040028908,0.0412287502847092,-6.95032764462065,1.10481637745955e-05,4.46730100451036e-05,3.35881445488452
"KEGG_PRION_DISEASES",-0.649287982374593,0.00959675025244955,-6.90712313781815,1.17785286769402e-05,4.60564680204761e-05,3.29238842911002
"KEGG_RNA_DEGRADATION",0.718225491160767,-0.0764866420277732,6.90103224956816,1.18855401343164e-05,4.60564680204761e-05,3.28300339877385
"KEGG_RENIN_ANGIOTENSIN_SYSTEM",-0.828405595349787,0.0258181847513688,-6.6949975007646,1.61860561325831e-05,6.14409477685806e-05,2.96255221585178
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",-0.678251755631369,0.0331752553256707,-6.62274103475867,1.80617455552864e-05,6.71896934656654e-05,2.84878906410611
"KEGG_BLADDER_CANCER",0.545056113048091,-0.0582113528956144,6.60668101979462,1.8509087933932e-05,6.75037324649284e-05,2.82340576122795
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.761358383119343,-0.0761233340316042,6.44209361438386,2.38313614349149e-05,8.52429466710418e-05,2.56121309257443
"KEGG_PANCREATIC_CANCER",0.591340234577302,-0.0503546866830079,6.3412518542841,2.78734982740305e-05,9.78202014899939e-05,2.39871133333811
"KEGG_ABC_TRANSPORTERS",-0.573250011150654,0.0229647836307687,-6.31905494371443,2.88569198131178e-05,9.93960571340723e-05,2.3627520506608
"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.550985005246294,-0.0850337941627784,6.26754209117204,3.12831038801922e-05,0.000105793769485741,2.27903614776593
"KEGG_MTOR_SIGNALING_PATHWAY",0.513650409172864,-0.0662872494274136,6.1572833375694,3.72294276116619e-05,0.000122032806316857,2.09860677118015
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",-0.831455835383904,0.00955309802116398,-6.15444937625566,3.73971503229078e-05,0.000122032806316857,2.09394689005272
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.454170492033195,-0.0541179875873922,6.08619714354173,4.16868945126735e-05,0.000133685558264781,1.98138169155239
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",-0.71598300846502,-0.0129641095063423,-6.03549073467112,4.52083448548992e-05,0.000142521222762903,1.89733382878053
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",-0.652514859396623,-0.0439275715244915,-6.02012495405733,4.63363535629962e-05,0.000143642696045288,1.871793768453
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0.46391593522661,-0.045781084175892,5.99873526088869,4.79562161287694e-05,0.000146227150818871,1.83618642911549
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.602966681055495,-0.0741463339158755,5.97505965982183,4.98190063783748e-05,0.000149457019135124,1.79669954679167
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",-0.619343816995989,0.0618369355168357,-5.95787232717462,5.12189799945724e-05,0.000151217940936357,1.76798517658215
"KEGG_PEROXISOME",-0.822453065394905,0.0035630156732859,-5.94473120268841,5.23173093331955e-05,0.000152047180249599,1.7460029981217
"KEGG_PYRUVATE_METABOLISM",-0.709022396707789,-0.00943200311154983,-5.82161477782681,6.38973047832195e-05,0.000182844595225828,1.53889316461896
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",-1.0213593552538,0.0449828892913361,-5.71788741758374,7.57457900081895e-05,0.000213465408204898,1.36277401298322
"KEGG_ENDOCYTOSIS",0.497547104552081,-0.0700688206669412,5.68521981353618,7.993926954722e-05,0.000221920957250491,1.30700107988397
"KEGG_GLYCEROLIPID_METABOLISM",-0.539154415976465,0.0181375092913504,-5.59132089528915,9.34085030145951e-05,0.00025549972883404,1.14587583128883
